dependent,term,coef,t_stat,p_value,r2,N
eva_tcel,const,-28.3541,-0.3544,0.7230,0.7843,120
eva_tcel,el_tcel_lag1_w,-1989.2743,-0.4033,0.6867,0.7843,120
eva_tcel,el_ecl_lag1_w,-1889.5907,-0.6946,0.4873,0.7843,120
eva_tcel,macro_stress_index_lag1_w,21.1686,1.0894,0.2760,0.7843,120
eva_tcel,stage2_ratio_lag1_w,-100.7882,-0.3634,0.7163,0.7843,120
eva_ecl,const,-79.2918,-0.9422,0.3461,0.7747,120
eva_ecl,el_tcel_lag1_w,3013.3338,0.6015,0.5475,0.7747,120
eva_ecl,el_ecl_lag1_w,-5710.8661,-1.7448,0.0810,0.7747,120
eva_ecl,macro_stress_index_lag1_w,-14.9693,-0.6840,0.4940,0.7747,120
eva_ecl,stage2_ratio_lag1_w,114.6568,0.3816,0.7028,0.7747,120
raroc_tcel,const,0.1528,0.9095,0.3631,0.8036,120
raroc_tcel,el_tcel_lag1_w,9.5712,0.7939,0.4273,0.8036,120
raroc_tcel,el_ecl_lag1_w,-12.1077,-1.2934,0.1959,0.8036,120
raroc_tcel,macro_stress_index_lag1_w,0.1202,1.7801,0.0751,0.8036,120
raroc_tcel,stage2_ratio_lag1_w,-0.6518,-0.7378,0.4607,0.8036,120
raroc_ecl,const,0.1259,0.7790,0.4360,0.7963,120
raroc_ecl,el_tcel_lag1_w,2.0044,0.1749,0.8612,0.7963,120
raroc_ecl,el_ecl_lag1_w,-4.6563,-0.4780,0.6327,0.7963,120
raroc_ecl,macro_stress_index_lag1_w,0.0351,0.5304,0.5958,0.7963,120
raroc_ecl,stage2_ratio_lag1_w,-0.7334,-0.8638,0.3877,0.7963,120
