date,gross_eva,selected_portfolios,N,turnover_cost,net_eva,cumulative_net_eva
2022-03-31,243.2502,Retail_Mortgages,1,0.2433,243.0069,243.0069
2022-06-30,173.2251,Retail_Mortgages,1,0.1732,173.0519,416.0588
2022-09-30,427.8757,Retail_Mortgages,1,0.4279,427.4478,843.5066
2022-12-31,509.7536,Retail_Mortgages,1,0.5098,509.2439,1352.7505
2023-03-31,274.4898,Retail_Mortgages,1,0.2745,274.2153,1626.9658
2023-06-30,247.8185,Retail_Mortgages,1,0.2478,247.5707,1874.5365
2023-09-30,354.1948,Retail_Mortgages,1,0.3542,353.8406,2228.3771
2023-12-31,534.2717,Retail_Mortgages,1,0.5343,533.7374,2762.1146
2024-03-31,252.2316,Retail_Mortgages,1,0.2522,251.9794,3014.0939
2024-06-30,279.4214,Retail_Mortgages,1,0.2794,279.1420,3293.2359
2024-09-30,395.0947,Retail_Mortgages,1,0.3951,394.6996,3687.9356
