feature,importance,importance_std,N
ead_lag1_w,0.4072,0.0587,44
el_tcel_lag1_w,0.0995,0.0134,44
raroc_tcel_lag1_w,0.0643,0.0148,44
economic_capital_lag1_w,0.0288,0.0039,44
eva_tcel_lag1_w,0.0144,0.0040,44
eva_ecl_lag1_w,0.0032,0.0027,44
raroc_ecl_lag1_w,0.0023,0.0011,44
credit_spread_lag1_w,0.0022,0.0012,44
ecl_tcel_gap_lag1_w,0.0006,0.0003,44
pd_pit_lag1_w,0.0004,0.0006,44
el_ecl_lag1_w,0.0002,0.0006,44
macro_stress_index_lag1_w,0.0001,0.0003,44
stage2_ratio_lag1_w,-0.0000,0.0002,44
gdp_growth_lag1_w,-0.0003,0.0005,44
unemployment_lag1_w,-0.0010,0.0009,44
