block,feature,missing_pct,N
controls,ead_lag1_w,0.0312,124
controls,economic_capital_lag1_w,0.0312,124
tcel,el_tcel_lag1_w,0.0312,124
tcel,eva_tcel_lag1_w,0.0312,124
tcel,raroc_tcel_lag1_w,0.0312,124
ecl,el_ecl_lag1_w,0.0312,124
ecl,ecl_tcel_gap_lag1_w,0.0312,124
ecl,eva_ecl_lag1_w,0.0312,124
ecl,raroc_ecl_lag1_w,0.0312,124
macro,gdp_growth_lag1_w,0.0312,124
macro,unemployment_lag1_w,0.0312,124
macro,credit_spread_lag1_w,0.0312,124
macro,macro_stress_index_lag1_w,0.0312,124
staging,stage2_ratio_lag1_w,0.0312,124
staging,pd_pit_lag1_w,0.0312,124
