feature,coef,t_stat,p_value,r2,N
ead_lag1_w,0.0339,17.0918,0.0000,0.7458,120
el_tcel_lag1_w,-27358.7263,-16.9838,0.0000,0.7189,120
economic_capital_lag1_w,-0.3690,-16.6580,0.0000,0.6885,120
eva_tcel_lag1_w,0.7705,11.5094,0.0000,0.5665,120
eva_ecl_lag1_w,0.7054,11.8153,0.0000,0.5279,120
raroc_tcel_lag1_w,215.1383,8.8863,0.0000,0.4762,120
raroc_ecl_lag1_w,217.4505,9.1787,0.0000,0.4663,120
pd_pit_lag1_w,-6254.1716,-11.0434,0.0000,0.4342,120
el_ecl_lag1_w,-14320.8701,-9.8466,0.0000,0.4275,120
ecl_tcel_gap_lag1_w,-4259.8769,-1.4177,0.1563,0.0151,120
credit_spread_lag1_w,821.1401,0.5865,0.5575,0.0028,120
stage2_ratio_lag1_w,91.3601,0.4524,0.6510,0.0017,120
macro_stress_index_lag1_w,6.3348,0.4535,0.6502,0.0015,120
unemployment_lag1_w,521.2091,0.4456,0.6559,0.0015,120
gdp_growth_lag1_w,-947.9780,-0.3516,0.7251,0.0009,120
